TS,ID,Delta1
RMS.FR,6.5,1636329600000
TEP.FR,5.100000000000023,1636329600000
ODET.FR,5.0,1636329600000
KER.FR,4.600000000000023,1636329600000
GNE.FR,3.8700000000000045,1636329600000
HOLCO.NL,-2.5,1636329600000
VETO.FR,-4.599999999999994,1636329600000
BUR.FR,-6.0,1636329600000
MC.FR,-7.5,1636329600000
ADYEN.NL,-18.0,1636329600000
KER.FR,19.600000000000023,1636416000000
ODET.FR,15.0,1636416000000
TEP.FR,6.0,1636416000000
MC.FR,4.099999999999909,1636416000000
RMS.FR,4.0,1636416000000
EL.FR,-2.5800000000000125,1636416000000
RNL.FR,-3.6999999999999886,1636416000000
BUR.FR,-8.0,1636416000000
TSL2.FR,-77.73509999999999,1636416000000
ADYEN.NL,-78.0,1636416000000
ODET.FR,20.0,1636502400000
BUR.FR,14.0,1636502400000
RNL.FR,9.680000000000007,1636502400000
DPAM.FR,8.0,1636502400000
HOLCO.NL,2.5,1636502400000
MC.FR,-4.600000000000023,1636502400000
RMS.FR,-8.0,1636502400000
TSL2.FR,-12.486200000000053,1636502400000
KER.FR,-17.100000000000023,1636502400000
ADYEN.NL,-30.5,1636502400000
RMS.FR,19.0,1636588800000
ODET.FR,15.0,1636588800000
MC.FR,10.699999999999932,1636588800000
ADYEN.NL,10.0,1636588800000
HOLCO.NL,4.0,1636588800000
ALMDG.FR,-1.4500000000000028,1636588800000
SK.FR,-1.5,1636588800000
BUR.FR,-6.0,1636588800000
ALFEN.NL,-9.299999999999997,1636588800000
TSL2.FR,-10.488200000000006,1636588800000
MONC.FR,100.0,1636675200000
RMS.FR,38.5,1636675200000
ADYEN.NL,26.0,1636675200000
MC.FR,16.899999999999977,1636675200000
KER.FR,12.199999999999932,1636675200000
HOLCO.NL,-1.0,1636675200000
THEP.FR,-1.2000000000000028,1636675200000
BUR.FR,-2.0,1636675200000
HDG.NL,-4.200000000000003,1636675200000
ODET.FR,-10.0,1636675200000
