TS,ID,Delta1
ODET.FR,5.0,1636362000000
GNE.FR,3.230000000000004,1636362000000
TEP.FR,2.3999999999999773,1636362000000
SCHP.FR,1.6000000000000085,1636362000000
RMS.FR,1.5,1636362000000
RIN.FR,-1.0,1636362000000
VETO.FR,-1.5999999999999943,1636362000000
KER.FR,-1.8999999999999773,1636362000000
MC.FR,-4.2999999999999545,1636362000000
ADYEN.NL,-9.0,1636362000000
KER.FR,2.2999999999999545,1636363800000
RMS.FR,2.0,1636363800000
ADYEN.NL,1.5,1636363800000
SU.FR,0.6400000000000148,1636363800000
ALMDG.FR,0.45000000000000284,1636363800000
GFC.FR,-0.7000000000000028,1636363800000
HDG.NL,-0.7999999999999972,1636363800000
TEP.FR,-1.1999999999999886,1636363800000
BUR.FR,-4.0,1636363800000
RNL.FR,-9.25,1636363800000
FAST.NL,0.8999999999999986,1636365600000
GLPG.NL,0.36999999999999744,1636365600000
SCHP.FR,0.29999999999999716,1636365600000
ALFEN.NL,0.29999999999999716,1636365600000
LIGHT.NL,0.29999999999999716,1636365600000
KER.FR,-1.0,1636365600000
EL.FR,-1.039999999999992,1636365600000
MC.FR,-2.0,1636365600000
RMS.FR,-2.5,1636365600000
ADYEN.NL,-9.0,1636365600000
ADYEN.NL,9.5,1636367400000
RMS.FR,4.0,1636367400000
TEP.FR,3.3000000000000114,1636367400000
SCHP.FR,0.8999999999999915,1636367400000
MC.FR,0.39999999999997726,1636367400000
ACCEL.NL,-0.20000000000000284,1636367400000
ML.FR,-0.29999999999998295,1636367400000
PARP.FR,-0.3000000000000007,1636367400000
EL.FR,-0.46000000000000796,1636367400000
KER.FR,-1.0,1636367400000
KER.FR,4.600000000000023,1636369200000
RIN.FR,0.7000000000000028,1636369200000
PAR.FR,0.5,1636369200000
WAGA.FR,0.5,1636369200000
RE.FR,0.5,1636369200000
SU.FR,-0.4200000000000159,1636369200000
GNE.FR,-0.6500000000000057,1636369200000
HOLCO.NL,-1.5,1636369200000
VETO.FR,-2.4000000000000057,1636369200000
ADYEN.NL,-3.0,1636369200000
KER.FR,1.0,1636371000000
EL.FR,0.6200000000000045,1636371000000
WAGA.FR,0.5999999999999979,1636371000000
SK.FR,0.5999999999999943,1636371000000
PRX.NL,0.39000000000000057,1636371000000
RMS.FR,-0.5,1636371000000
HOLCO.NL,-0.5,1636371000000
TEP.FR,-0.8000000000000114,1636371000000
ADYEN.NL,-2.0,1636371000000
ODET.FR,-5.0,1636371000000
RMS.FR,1.0,1636372800000
KER.FR,0.8000000000000682,1636372800000
MC.FR,0.7000000000000455,1636372800000
EL.FR,0.36000000000001364,1636372800000
SK.FR,0.30000000000001137,1636372800000
RI.FR,-0.30000000000001137,1636372800000
MCPHY.FR,-0.35999999999999943,1636372800000
GFC.FR,-0.3999999999999915,1636372800000
VETO.FR,-1.0,1636372800000
ADYEN.NL,-3.5,1636372800000
RMS.FR,6.5,1636374600000
MC.FR,2.0,1636374600000
ADYEN.NL,2.0,1636374600000
KER.FR,1.0,1636374600000
EL.FR,0.5200000000000102,1636374600000
SU.FR,-0.3599999999999852,1636374600000
GLPG.NL,-0.375,1636374600000
TEP.FR,-0.4000000000000341,1636374600000
VETO.FR,-1.5999999999999943,1636374600000
RNL.FR,-4.279999999999973,1636374600000
ADYEN.NL,5.0,1636376400000
SCHP.FR,0.4000000000000057,1636376400000
EL.FR,0.36000000000001364,1636376400000
HEIA.NL,0.3199999999999932,1636376400000
RI.FR,0.30000000000001137,1636376400000
MC.FR,-0.39999999999997726,1636376400000
HEXA.FR,-0.3999999999999986,1636376400000
PRX.NL,-0.4099999999999966,1636376400000
KER.FR,-1.0,1636376400000
RMS.FR,-3.5,1636376400000
TEP.FR,1.1999999999999886,1636378200000
KER.FR,1.099999999999909,1636378200000
RMS.FR,1.0,1636378200000
MC.FR,0.7000000000000455,1636378200000
THEP.FR,0.6000000000000085,1636378200000
HDF.FR,-0.1999999999999993,1636378200000
GFC.FR,-0.29999999999999716,1636378200000
ALFEN.NL,-0.29999999999999716,1636378200000
MAJ.NL,-0.5,1636378200000
ADYEN.NL,-10.0,1636378200000
ADYEN.NL,4.0,1636380000000
RMS.FR,2.0,1636380000000
LBUL.NL,0.3089999999999975,1636380000000
SWP.FR,0.29999999999999716,1636380000000
WAVE.FR,0.29999999999999716,1636380000000
WAGA.FR,-0.3999999999999986,1636380000000
RIN.FR,-0.7000000000000028,1636380000000
KER.FR,-0.7999999999999545,1636380000000
HDG.NL,-1.2000000000000028,1636380000000
LPE.FR,-1.5999999999999943,1636380000000
KER.FR,3.800000000000068,1636381800000
MC.FR,2.099999999999909,1636381800000
RMS.FR,2.0,1636381800000
HAL.NL,1.0,1636381800000
RNL.FR,0.5400000000000205,1636381800000
TKWY.NL,-0.3200000000000003,1636381800000
LPE.FR,-0.4000000000000057,1636381800000
WAGA.FR,-0.5,1636381800000
RIN.FR,-0.7000000000000028,1636381800000
THEP.FR,-1.2000000000000028,1636381800000
ADYEN.NL,3.5,1636383600000
TEP.FR,1.5,1636383600000
RIN.FR,0.9000000000000057,1636383600000
ALFEN.NL,0.7999999999999972,1636383600000
LACR.FR,0.4000000000000057,1636383600000
ALMDG.FR,-0.3500000000000014,1636383600000
SAF.FR,-0.37999999999999545,1636383600000
MC.FR,-0.7000000000000455,1636383600000
LPE.FR,-1.0,1636383600000
KER.FR,-1.2000000000000455,1636383600000
GLPG.NL,0.884999999999998,1636385400000
SLB.FR,0.6499999999999986,1636385400000
TKWY.NL,0.3400000000000034,1636385400000
TEP.FR,0.30000000000001137,1636385400000
GBT.FR,0.30000000000000426,1636385400000
KER.FR,-2.0,1636385400000
ADYEN.NL,-2.5,1636385400000
MC.FR,-4.099999999999909,1636385400000
ODET.FR,-5.0,1636385400000
RMS.FR,-8.0,1636385400000
ADYEN.NL,8.5,1636387200000
RMS.FR,4.0,1636387200000
MC.FR,1.2999999999999545,1636387200000
VETO.FR,0.4000000000000057,1636387200000
