TS,Mercato,25percentile,50percentile,75percentile
1636362000000,FR,-0.20329827060567057,-0.01594054316592622,0.1053915550021314
1636362000000,NL,-0.1606981956379434,-0.0002230255684959534,0.0024148772178641913
1636365600000,NL,-0.03616088108423491,0.003795001378603207,0.07851365903914852
1636365600000,FR,-0.12869411537919273,-0.02547676917000937,0.014817049949832566
1636369200000,NL,0.01102732758424068,0.0031269808508627107,0.04910076260247819
1636369200000,FR,-0.03370697098938155,0.008103337461162971,0.13454743352937465
1636372800000,NL,-0.04645986202373835,-0.012820322943974663,0.011645550177875112
1636372800000,FR,-0.09810570112084958,-0.027632932265155372,0.0416654517822313
1636376400000,FR,-0.021745273666804288,0.008148644983983324,0.14458169117892464
1636376400000,NL,-0.0155854665437044,0.010528447984444165,0.038484450226749
1636380000000,NL,-0.025412751099941448,0.032257429291155916,0.060815247643450934
1636380000000,FR,-0.038678113144089435,-0.0008376536413141947,0.0543814533083627
1636383600000,NL,-0.02839923711309677,-0.003168916574115603,0.09676327414529534
1636383600000,FR,-0.23624211094980427,-0.035041004674120954,0.03779863290956339
1636387200000,FR,-0.06814917722881375,-0.0018180151423049114,0.06893985144331308
1636387200000,NL,-0.04653979278348123,-0.003258035815462846,0.06701856950267568
1636390800000,FR,-0.1025603749050023,-0.0033309058091237527,0.03608533030170829
1636390800000,NL,-0.05325323406448455,-0.0050005903184786715,0.026937339933730285
1636448400000,NL,-0.160390057521569,0.0036836901504478927,0.08006133627360054
1636448400000,FR,-0.13965381919820533,-0.01358489350603303,0.14668162214310418
1636452000000,NL,-0.0489101862589164,-0.03137030603913475,0.025044954701356165
1636452000000,FR,-0.043143630962504065,0.010101772544501574,0.15346005240750604
1636455600000,FR,-0.06697648627480608,0.00557764790234299,0.122043288933094
1636455600000,NL,-0.017890995699735148,-0.006784671585593792,0.06406937747065444
1636459200000,NL,-0.05648492682720389,-0.02904520512116309,0.0029854653414824184
1636459200000,FR,-0.02811453297631048,0.012059469722934072,0.14534412285498557
1636462800000,NL,-0.06280805141919367,0.002003338306155289,0.02509183965767411
1636462800000,FR,-0.1099987851108065,-0.007867207766851179,0.03864137141199708
1636466400000,FR,-0.09802171558597576,-0.0014329022369464848,0.02706264927923596
1636466400000,NL,-0.04849930931547709,-0.011398404935178175,0.13618292708977353
1636470000000,FR,-0.39675924603053225,-0.042087252324643186,0.035992053223042934
1636470000000,NL,-0.0983213896565146,-0.014236909805804925,0.008455683489180077
1636473600000,FR,-0.04265408636775188,-0.0033843097992175405,0.06325447007191466
1636473600000,NL,-0.01867430909883437,0.007045288319862871,0.06025596556996971
1636477200000,FR,-0.17193003651306654,-0.004938469513018753,0.17472670668124046
1636477200000,NL,-0.03566640393449702,0.007787452060324673,0.07524680222416974
1636534800000,NL,-0.2005865269428996,-0.027653767333689454,0.007080267985688534
1636534800000,FR,-0.2636033814894684,-0.033948915510311456,0.07310627931414501
1636538400000,NL,-0.1271699305645937,-0.0016943588701384543,0.02312618655759227
1636538400000,FR,-0.15147603267864373,0.003890987006532906,0.15470663099098844
1636542000000,NL,-0.23251719924302036,-0.013586651147529143,0.025699549918165844
1636542000000,FR,-0.11630348659002315,-0.008495444891052691,0.034146614739856335
1636545600000,FR,-0.0628967309808883,-0.008247631849151357,0.12481397326565763
1636545600000,NL,-0.05542797292400169,-0.012832172073982876,0.06696847046451605
1636549200000,FR,-0.05747742508290687,0.0026917887243374425,0.10685509195460677
1636549200000,NL,-0.02116561152998791,0.009211820350920493,0.07583188450749982
1636552800000,FR,-0.18712832624022946,-0.0057952794523933124,0.03682735305178141
1636552800000,NL,-0.04806043057363483,-0.000689880884606807,0.009030134654059635
1636556400000,FR,-0.02065132433966857,0.02830124039429696,0.21043751975119146
1636556400000,NL,-0.035242372162528325,0.01999372243056581,0.17483563571647537
